title,studio,domestic_gross,foreign_gross,year,total_gross
I Hate Luv Storys,UTV,848000.0,14900000.0,2010,15748000.0
Extraordinary Measures,CBS,12100000.0,3100000.0,2010,15200000.0
Somewhere,Focus,1800000.0,12200000.0,2010,14000000.0
Winter's Bone,RAtt.,6500000.0,7300000.0,2010,13800000.0
The Last Station,SPC,6600000.0,6900000.0,2010,13500000.0
Raajneeti,UTV,1500000.0,11100000.0,2010,12600000.0
Made in Dagenham,SPC,1100000.0,11300000.0,2010,12400000.0
Blue Valentine,Wein.,9700000.0,2600000.0,2010,12300000.0
Tamara Drewe,SPC,560000.0,11400000.0,2010,11960000.0
Chloe,SPC,3100000.0,8600000.0,2010,11700000.0
Looking for Eric,IFC,55800.0,11500000.0,2010,11555800.0
The Warrior's Way,Rela.,5700000.0,5400000.0,2010,11100000.0
I Am Love,Magn.,5000000.0,5900000.0,2010,10900000.0
Jonah Hex,WB,10500000.0,356000.0,2010,10856000.0
Harry Brown,Gold.,1800000.0,8500000.0,2010,10300000.0
Cyrus,Fox,7500000.0,2500000.0,2010,10000000.0
Conviction,Fox,6800000.0,2900000.0,2010,9700000.0
Get Low,SPC,9200000.0,518000.0,2010,9718000.0
Babies,Focus,7300000.0,2200000.0,2010,9500000.0
Stone,Over.,1800000.0,7700000.0,2010,9500000.0
Peepli Live,UTV,758000.0,8700000.0,2010,9458000.0
Never Let Me Go,Fox,2400000.0,7000000.0,2010,9400000.0
Mid-August Lunch,Zeit.,675000.0,8700000.0,2010,9375000.0
MacGruber,Uni.,8500000.0,797000.0,2010,9297000.0
City Island,Anch.,6700000.0,1200000.0,2010,7900000.0
Inside Job,SPC,4300000.0,3600000.0,2010,7900000.0
The Joneses,RAtt.,1500000.0,5500000.0,2010,7000000.0
Centurion,Magn.,124000.0,6700000.0,2010,6824000.0
Animal Kingdom,SPC,1000000.0,5700000.0,2010,6700000.0
Nowhere Boy,Wein.,1500000.0,5100000.0,2010,6600000.0
It's Kind of a Funny Story,Focus,6400000.0,128000.0,2010,6528000.0
"Waiting for ""Superman""",ParV,6400000.0,9300.0,2010,6409300.0
Greenberg,Focus,4200000.0,1900000.0,2010,6100000.0
Coco Chanel & Igor Stravinsky,SPC,1600000.0,4099999.0,2010,5699999.0
Vincere,IFC,619000.0,5100000.0,2010,5719000.0
The Illusionist (2010),SPC,2200000.0,3400000.0,2010,5600000.0
Exit Through the Gift Shop,PDA,3300000.0,2000000.0,2010,5300000.0
Mademoiselle Chambon,Lorb.,532000.0,4700000.0,2010,5232000.0
Solitary Man,Anch.,4400000.0,818000.0,2010,5218000.0
Rabbit Hole,LGF,2200000.0,2900000.0,2010,5100000.0
Vision,Zeit.,435000.0,4600000.0,2010,5035000.0
Mother and Child,SPC,1100000.0,3900000.0,2010,5000000.0
The Runaways,App.,3600000.0,1100000.0,2010,4700000.0
Four Lions,Drft.,305000.0,4400000.0,2010,4705000.0
Wild Grass,SPC,404000.0,4200000.0,2010,4604000.0
Please Give,SPC,4000000.0,280000.0,2010,4280000.0
Monsters,Magn.,237000.0,4000000.0,2010,4237000.0
Rare Exports: A Christmas Tale,Osci.,236000.0,3800000.0,2010,4036000.0
The Killer Inside Me,IFC,217000.0,3800000.0,2010,4017000.0
The Perfect Game,IW,1000000.0,2800000.0,2010,3800000.0
To Save a Life,Gold.,3800000.0,45800.0,2010,3845800.0
Inspector Bellamy,IFC,108000.0,3600000.0,2010,3708000.0
Catfish,Rog.,3200000.0,242000.0,2010,3442000.0
Wild Target,Free,109000.0,3300000.0,2010,3409000.0
Outside the Law (Hors-la-loi),StudioCanal,96900.0,3300000.0,2010,3396900.0
Frozen (2010),Anch.,246000.0,2900000.0,2010,3146000.0
Dabangg,Eros,1300000.0,1700000.0,2010,3000000.0
Kites,Relbig.,1600000.0,1300000.0,2010,2900000.0
Letters to God,Viv.,2800000.0,60300.0,2010,2860300.0
Twelve,Hann.,184000.0,2400000.0,2010,2584000.0
Tees Maar Khan,UTV,1100000.0,1400000.0,2010,2500000.0
Fish Tank,IFC,375000.0,2000000.0,2010,2375000.0
Housefull,Eros,1200000.0,1200000.0,2010,2400000.0
Golmaal 3,Eros,1100000.0,935000.0,2010,2035000.0
After.Life,Anch.,109000.0,1900000.0,2010,2009000.0
Cairo Time,IFC,1600000.0,391000.0,2010,1991000.0
Flipped,WB,1800000.0,0.0,2010,1800000.0
