,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,roi
2547,85,2016-10-21,31,1500000,779820,922727,tt3835080,31,31,2016,102.0,"['Horror', 'Thriller']",5.1,15055,0.6151513333333334
2548,87,2016-04-22,Unsullied,1500000,510957,510957,tt3139764,Unsullied,Unsullied,2014,93.0,"['Action', 'Horror', 'Thriller']",4.3,278,0.340638
2549,94,2011-08-19,Amigo,1500000,184705,184705,tt1562847,Amigo,Amigo,2010,124.0,"['Drama', 'War']",5.9,514,0.12313666666666667
2550,2,2015-03-06,Road Hard,1500000,113169,113169,tt3110770,Road Hard,Road Hard,2015,98.0,['Comedy'],6.1,1681,0.075446
2551,7,2014-10-17,Housebound,1500000,0,236863,tt3504048,Housebound,Housebound,2014,107.0,"['Comedy', 'Horror', 'Mystery']",6.8,29757,0.15790866666666667
2552,8,2018-07-20,Teefa in Trouble,1500000,0,98806,tt8043306,Teefa in Trouble,Teefa in Trouble,2018,155.0,"['Action', 'Comedy', 'Crime']",7.4,2724,0.06587066666666666
2553,10,2014-04-17,Closer to the Moon,1500000,0,5396,tt2017486,Closer to the Moon,Closer to the Moon,2014,112.0,"['Comedy', 'Crime', 'Drama']",7.0,3585,0.0035973333333333335
2554,12,2011-06-03,The Lion of Judah,1500000,0,0,tt1212022,The Lion of Judah,The Lion of Judah,2011,87.0,['Animation'],3.8,511,0.0
2555,13,2014-11-11,Once Upon a Time in Queens,1500000,0,0,tt1639397,Once Upon a Time in Queens,Last I Heard,2013,98.0,"['Comedy', 'Drama']",6.2,354,0.0
2556,15,2015-05-26,Mutant World,1500000,0,0,tt3626436,Mutant World,Mutant World,2014,82.0,['Sci-Fi'],2.8,587,0.0
2557,16,2015-11-20,#Horror,1500000,0,0,tt3526286,#Horror,#Horror,2015,101.0,"['Crime', 'Drama', 'Horror']",3.0,3092,0.0
2558,17,2015-09-08,Checkmate,1500000,0,0,tt1675846,Checkmate,Checkmate,2010,121.0,"['Drama', 'Mystery']",4.7,27,0.0
2559,17,2015-09-08,Checkmate,1500000,0,0,tt3781616,Checkmate,Checkmate,2015,102.0,"['Action', 'Crime', 'Thriller']",2.9,931,0.0
2560,21,2015-11-20,Mustang,1400000,845464,5552584,tt3966404,Mustang,Mustang,2015,97.0,['Drama'],7.6,30899,3.9661314285714284
2561,23,2014-10-03,La chambre bleue,1400000,260441,1945420,tt4586720,La chambre bleue,La chambre bleue,2015,48.0,['Documentary'],6.2,6,1.3895857142857142
2562,25,2013-04-05,Eddie: The Sleepwalking Cannibal,1400000,1632,1632,tt1480658,Eddie: The Sleepwalking Cannibal,Eddie,2012,90.0,"['Comedy', 'Horror']",5.6,1364,0.0011657142857142858
2563,26,2010-05-01,My Girlfriend's Boyfriend,1400000,0,0,tt1447793,My Girlfriend's Boyfriend,My Girlfriend's Boyfriend,2010,84.0,"['Comedy', 'Romance']",5.8,5461,0.0
2564,28,2014-12-31,House at the End of the Drive,1400000,0,0,tt0464054,House at the End of the Drive,House at the End of the Drive,2014,91.0,"['Horror', 'Thriller']",6.5,331,0.0
2565,38,2015-01-30,Above and Beyond,1300000,288751,288751,tt2704752,Above and Beyond,Above and Beyond,2014,90.0,"['Adventure', 'Documentary', 'History']",7.7,506,0.22211615384615385
2566,43,2006-04-07,Simon,1300000,4055,1738663,tt3283708,Simon,Simon,2016,85.0,['Thriller'],4.8,47,1.337433076923077
2567,44,2011-05-24,Forget Me Not,1300000,0,13465,tt1431065,Forget Me Not,Forget Me Not,2010,93.0,['Romance'],6.6,1835,0.010357692307692307
2568,44,2011-05-24,Forget Me Not,1300000,0,13465,tt1788440,Forget Me Not,Shin-san Tankoumachi no serenâde,2010,109.0,['Drama'],7.3,15,0.010357692307692307
2569,44,2011-05-24,Forget Me Not,1300000,0,13465,tt4134856,Forget Me Not,Forget Me Not,2014,102.0,"['Adventure', 'Drama']",5.6,51,0.010357692307692307
2570,44,2011-05-24,Forget Me Not,1300000,0,13465,tt4192636,Forget Me Not,Wasurenai to chikatta boku ga ita,2015,,"['Drama', 'Romance']",6.7,225,0.010357692307692307
2571,44,2011-05-24,Forget Me Not,1300000,0,13465,tt5512456,Forget Me Not,Forget Me Not,2016,83.0,['Documentary'],7.1,15,0.010357692307692307
2572,44,2011-05-24,Forget Me Not,1300000,0,13465,tt8903540,Forget Me Not,Forget Me Not,2019,,['Documentary'],8.2,5,0.010357692307692307
2573,46,2015-06-26,The Algerian,1300000,0,0,tt1681370,The Algerian,The Algerian,2014,99.0,"['Action', 'Romance', 'Thriller']",5.3,195,0.0
2574,51,2014-10-17,Dear White People,1250000,4404154,5403771,tt2235108,Dear White People,Dear White People,2014,108.0,"['Comedy', 'Drama', 'Romance']",6.1,23321,4.3230168
2575,52,2013-04-19,Filly Brown,1250000,2850357,2940411,tt1869425,Filly Brown,Filly Brown,2012,80.0,"['Drama', 'Music']",5.7,1003,2.3523288
2576,54,2016-12-31,Bodom,1250000,0,726460,tt3669462,Bodom,Bodom,2014,65.0,"['Horror', 'Mystery', 'Thriller']",5.6,308,0.581168
2577,56,2015-01-13,Da Sweet Blood of Jesus,1250000,0,0,tt3104930,Da Sweet Blood of Jesus,Da Sweet Blood of Jesus,2014,123.0,"['Comedy', 'Romance', 'Thriller']",4.1,1212,0.0
2578,66,2013-04-19,Home Run,1200000,2859955,2859955,tt1669617,Home Run,Home Run,2010,82.0,"['Drama', 'Family', 'Sport']",4.2,66,2.3832958333333334
2579,66,2013-04-19,Home Run,1200000,2859955,2859955,tt2051894,Home Run,Home Run,2013,113.0,"['Drama', 'Sport']",6.0,2745,2.3832958333333334
2580,72,2012-04-13,Blue Like Jazz,1200000,595018,595018,tt1758575,Blue Like Jazz,Blue Like Jazz,2012,108.0,"['Comedy', 'Drama']",5.9,2810,0.49584833333333334
2581,74,1982-11-19,Q,1200000,255000,255000,tt1879030,Q,Q,2011,103.0,['Drama'],5.6,5322,0.2125
2582,74,1982-11-19,Q,1200000,255000,255000,tt5068886,Q,Q,2014,96.0,"['Drama', 'Thriller']",6.4,18,0.2125
2583,76,2012-06-01,"Pink Ribbons, Inc.",1200000,26608,26608,tt2035599,"Pink Ribbons, Inc.","Pink Ribbons, Inc.",2011,97.0,['Documentary'],7.3,654,0.022173333333333333
2584,77,2018-02-06,Blood Feast,1200000,8708,8708,tt4847546,Blood Feast,Blood Feast,2016,90.0,['Horror'],4.9,653,0.0072566666666666665
2585,83,2012-08-28,Below Zero,1200000,0,0,tt1641388,Below Zero,Below Zero,2011,99.0,['Thriller'],4.4,740,0.0
2586,84,2012-09-07,Crowsnest,1200000,0,0,tt2180333,Crowsnest,Crowsnest,2012,84.0,"['Horror', 'Mystery', 'Thriller']",3.9,1481,0.0
2587,85,2012-09-14,Airborne,1200000,0,0,tt1827354,Airborne,Airborne,2012,81.0,"['Comedy', 'Crime', 'Horror']",3.9,2248,0.0
2588,87,2015-02-03,Bleeding Hearts,1200000,0,0,tt2622294,Bleeding Hearts,Bleeding Hearts,2015,100.0,['Horror'],3.4,123,0.0
2589,88,2013-12-31,The Wicked Within,1200000,0,0,tt1943014,The Wicked Within,The Wicked Within,2015,84.0,['Horror'],4.5,1123,0.0
2590,100,2012-05-18,Beyond the Black Rainbow,1100000,56491,56491,tt1534085,Beyond the Black Rainbow,Beyond the Black Rainbow,2010,110.0,"['Horror', 'Sci-Fi', 'Thriller']",6.0,10765,0.051355454545454544
2591,2,2014-11-21,The Sleepwalker,1100000,2636,2636,tt2723576,The Sleepwalker,The Sleepwalker,2014,91.0,['Drama'],4.9,632,0.0023963636363636366
2592,3,2017-03-07,Departure,1100000,0,27561,tt2248739,Departure,Departure,2015,109.0,"['Drama', 'Romance']",6.7,1680,0.025055454545454544
2593,7,2010-12-31,The Dead Undead,1100000,0,0,tt0923653,The Dead Undead,The Dead Undead,2010,89.0,"['Action', 'Horror', 'Sci-Fi']",3.0,791,0.0
2594,8,2013-12-31,The Vatican Exorcisms,1100000,0,0,tt3043194,The Vatican Exorcisms,The Vatican Exorcisms,2013,76.0,['Horror'],2.5,413,0.0
2595,11,1976-11-21,Rocky,1000000,117235147,225000000,tt3080284,Rocky,Rocky,2013,136.0,"['Action', 'Comedy', 'Drama']",6.1,46,225.0
2596,11,1976-11-21,Rocky,1000000,117235147,225000000,tt9430578,Rocky,Rocky,2019,,"['Action', 'Drama', 'Romance']",6.4,5,225.0
2597,12,2012-01-06,The Devil Inside,1000000,53262945,101759490,tt1560985,The Devil Inside,The Devil Inside,2012,83.0,['Horror'],4.2,33522,101.75949
2598,14,2015-04-17,Unfriended,1000000,32789645,64364198,tt3713166,Unfriended,Unfriended,2014,83.0,"['Horror', 'Mystery', 'Thriller']",5.6,62043,64.364198
2599,17,2013-08-23,You're Next,1000000,18494006,26887177,tt1853739,You're Next,You're Next,2011,95.0,"['Action', 'Comedy', 'Horror']",6.6,79451,26.887177
2600,18,2012-05-25,Chernobyl Diaries,1000000,18119640,42411721,tt1991245,Chernobyl Diaries,Chernobyl Diaries,2012,86.0,"['Horror', 'Mystery', 'Thriller']",5.0,60304,42.411721
2601,19,1981-04-10,The Howling,1000000,17985000,17985000,tt5694044,The Howling,The Howling,2017,83.0,['Horror'],2.6,126,17.985
2602,25,2010-12-29,Blue Valentine,1000000,9737892,16566240,tt1120985,Blue Valentine,Blue Valentine,2010,112.0,"['Drama', 'Romance']",7.4,170089,16.56624
2603,29,2018-07-20,Unfriended: Dark Web,1000000,8866745,16434588,tt4761916,Unfriended: Dark Web,Unfriended: Dark Web,2018,92.0,"['Crime', 'Horror', 'Mystery']",5.9,13822,16.434588
2604,31,2015-09-25,The Green Inferno,1000000,7192291,12931420,tt2403021,The Green Inferno,The Green Inferno,2013,100.0,"['Adventure', 'Horror']",5.3,33239,12.93142
2605,32,2017-02-03,I Am Not Your Negro,1000000,7123919,9617402,tt5804038,I Am Not Your Negro,I Am Not Your Negro,2016,93.0,['Documentary'],7.8,13948,9.617402
2606,33,2012-10-19,The Sessions,1000000,6002451,11495204,tt1866249,The Sessions,The Sessions,2012,95.0,"['Biography', 'Comedy', 'Drama']",7.2,39731,11.495204
2607,35,2012-03-23,October Baby,1000000,5355847,5391992,tt1720182,October Baby,October Baby,2011,107.0,['Drama'],6.8,6903,5.391992
2608,36,2014-09-12,The Skeleton Twins,1000000,5284309,5797192,tt1571249,The Skeleton Twins,The Skeleton Twins,2014,93.0,"['Comedy', 'Drama', 'Romance']",6.8,36793,5.797192
2609,41,2014-06-06,Obvious Child,1000000,3122616,3324070,tt2910274,Obvious Child,Obvious Child,2014,84.0,"['Comedy', 'Drama', 'Romance']",6.8,21536,3.32407
2610,42,2011-10-21,Martha Marcy May Marlene,1000000,2981038,5438911,tt1441326,Martha Marcy May Marlene,Martha Marcy May Marlene,2011,102.0,"['Drama', 'Mystery', 'Thriller']",6.9,45873,5.438911
2611,52,2001-12-07,No Man's Land,1000000,1067481,2684207,tt1456660,No Man's Land,Wu ren qu,2013,118.0,"['Adventure', 'Crime', 'Drama']",7.3,1756,2.684207
2612,52,2001-12-07,No Man's Land,1000000,1067481,2684207,tt6546808,No Man's Land,No Man's Land,2017,81.0,['Documentary'],7.7,63,2.684207
2613,53,1998-10-09,Slam,1000000,1009819,1087521,tt4379536,Slam,Slam: Tutto per una ragazza,2016,100.0,"['Comedy', 'Drama', 'Romance']",6.2,883,1.087521
2614,53,1998-10-09,Slam,1000000,1009819,1087521,tt6037866,Slam,Slam,2018,115.0,['Drama'],7.3,16,1.087521
2615,56,2017-08-18,Patti Cake$,1000000,800148,1471090,tt6288250,Patti Cake$,Patti Cake$,2017,109.0,"['Drama', 'Music']",6.7,8581,1.47109
2616,57,2000-12-01,Panic,1000000,779137,1425707,tt2634438,Panic,Panic,2014,85.0,"['Drama', 'Mystery', 'Thriller']",6.1,55,1.425707
2617,58,2014-05-09,Palo Alto,1000000,767732,1156309,tt2479800,Palo Alto,Palo Alto,2013,100.0,['Drama'],6.2,25402,1.156309
2618,62,2011-07-29,The Future,1000000,568662,1239174,tt1235170,The Future,The Future,2011,91.0,"['Drama', 'Fantasy', 'Romance']",6.2,7648,1.239174
2619,64,2014-10-24,23 Blast,1000000,549185,549185,tt2304459,23 Blast,23 Blast,2014,98.0,"['Drama', 'Family', 'Sport']",6.5,1567,0.549185
